ENSG,HUGO,ENST,ENSP,CCDS,form
ENSG00000085552,IGSF9,ENST00000368094,ENSP00000357073,CCDS44254,PRINCIPAL:1
ENSG00000085840,ORC1,ENST00000371568,ENSP00000360623,CCDS566,PRINCIPAL:1
ENSG00000085998,POMGNT1,ENST00000371984,ENSP00000361052,CCDS531,PRINCIPAL:1
ENSG00000085999,RAD54L,ENST00000371975,ENSP00000361043,CCDS532,PRINCIPAL:1
ENSG00000086015,MAST2,ENST00000361297,ENSP00000354671,CCDS41326,PRINCIPAL:1
ENSG00000086619,ERO1B,ENST00000354619,ENSP00000346635,CCDS31064,PRINCIPAL:1
ENSG00000090020,SLC9A1,ENST00000263980,ENSP00000263980,CCDS295,PRINCIPAL:1
ENSG00000090104,RGS1,ENST00000367459,ENSP00000356429,CCDS1375,PRINCIPAL:1
ENSG00000090273,NUDC,ENST00000321265,ENSP00000319664,CCDS292,PRINCIPAL:1
ENSG00000090432,MUL1,ENST00000264198,ENSP00000264198,CCDS208,PRINCIPAL:1
ENSG00000090621,PABPC4,ENST00000372856,ENSP00000361947,CCDS44114,PRINCIPAL:1
ENSG00000090686,USP48,ENST00000308271,ENSP00000309262,CCDS30623,PRINCIPAL:1
ENSG00000091483,FH,ENST00000366560,ENSP00000355518,CCDS1617,PRINCIPAL:1
ENSG00000092607,TBX15,ENST00000369429,ENSP00000358437,-,PRINCIPAL:1
ENSG00000092621,PHGDH,ENST00000369409,ENSP00000358417,CCDS904,PRINCIPAL:1
ENSG00000092847,AGO1,ENST00000373204,ENSP00000362300,CCDS398,PRINCIPAL:1
ENSG00000092850,TEKT2,ENST00000207457,ENSP00000207457,CCDS401,PRINCIPAL:1
ENSG00000092969,TGFB2,ENST00000366930,ENSP00000355897,CCDS1521,PRINCIPAL:1
ENSG00000092978,GPATCH2,ENST00000366935,ENSP00000355902,CCDS1518,PRINCIPAL:1
ENSG00000094963,FMO2,ENST00000209929,ENSP00000209929,CCDS1293,PRINCIPAL:1
ENSG00000094975,SUCO,ENST00000263688,ENSP00000263688,CCDS1303,PRINCIPAL:1
ENSG00000097033,SH3GLB1,ENST00000370558,ENSP00000473267,CCDS710,PRINCIPAL:1
ENSG00000097046,CDC7,ENST00000234626,ENSP00000234626,CCDS734,PRINCIPAL:1
ENSG00000097096,SYDE2,ENST00000341460,ENSP00000340594,CCDS44169,PRINCIPAL:1
ENSG00000099260,PALMD,ENST00000263174,ENSP00000263174,CCDS758,PRINCIPAL:1
ENSG00000116128,BCL9,ENST00000234739,ENSP00000234739,CCDS30833,PRINCIPAL:1
ENSG00000116132,PRRX1,ENST00000239461,ENSP00000239461,CCDS1290,PRINCIPAL:1
ENSG00000116133,DHCR24,ENST00000371269,ENSP00000360316,CCDS600,PRINCIPAL:1
ENSG00000116138,DNAJC16,ENST00000375847,ENSP00000365007,CCDS30606,PRINCIPAL:1
ENSG00000116147,TNR,ENST00000367674,ENSP00000356646,CCDS1318,PRINCIPAL:1
ENSG00000116157,GPX7,ENST00000361314,ENSP00000354677,CCDS569,PRINCIPAL:1
ENSG00000116161,CACYBP,ENST00000367679,ENSP00000356652,CCDS1315,PRINCIPAL:1
ENSG00000116171,SCP2,ENST00000371514,ENSP00000360569,CCDS572,PRINCIPAL:1
ENSG00000116183,PAPPA2,ENST00000367662,ENSP00000356634,CCDS41438,PRINCIPAL:1
ENSG00000116191,RALGPS2,ENST00000367635,ENSP00000356607,CCDS1325,PRINCIPAL:1
ENSG00000116194,ANGPTL1,ENST00000367629,ENSP00000356601,CCDS1327,PRINCIPAL:1
ENSG00000116198,CEP104,ENST00000378230,ENSP00000367476,CCDS30571,PRINCIPAL:1
ENSG00000116199,FAM20B,ENST00000263733,ENSP00000263733,CCDS1328,PRINCIPAL:1
ENSG00000116205,TCEANC2,ENST00000234827,ENSP00000234827,CCDS587,PRINCIPAL:1
ENSG00000116209,TMEM59,ENST00000234831,ENSP00000234831,CCDS586,PRINCIPAL:1
ENSG00000116212,LRRC42,ENST00000371370,ENSP00000360421,CCDS585,PRINCIPAL:1
ENSG00000116213,WRAP73,ENST00000270708,ENSP00000270708,CCDS48,PRINCIPAL:1
ENSG00000116218,NPHS2,ENST00000367615,ENSP00000356587,CCDS1331,PRINCIPAL:1
ENSG00000116221,MRPL37,ENST00000360840,ENSP00000354086,CCDS589,PRINCIPAL:1
ENSG00000116237,ICMT,ENST00000343813,ENSP00000343552,CCDS61,PRINCIPAL:1
ENSG00000116251,RPL22,ENST00000234875,ENSP00000346088,CCDS58,PRINCIPAL:1
ENSG00000116254,CHD5,ENST00000262450,ENSP00000262450,CCDS57,PRINCIPAL:1
ENSG00000116266,STXBP3,ENST00000370008,ENSP00000359025,CCDS790,PRINCIPAL:1
ENSG00000116273,PHF13,ENST00000377648,ENSP00000366876,CCDS85,PRINCIPAL:1
ENSG00000116285,ERRFI1,ENST00000377482,ENSP00000366702,CCDS94,PRINCIPAL:1
ENSG00000116288,PARK7,ENST00000377491,ENSP00000366711,CCDS93,PRINCIPAL:1
ENSG00000116299,KIAA1324,ENST00000369939,ENSP00000358955,CCDS794,PRINCIPAL:1
ENSG00000116329,OPRD1,ENST00000234961,ENSP00000234961,CCDS329,PRINCIPAL:1
ENSG00000116337,AMPD2,ENST00000528667,ENSP00000436541,CCDS805,PRINCIPAL:1
ENSG00000116350,SRSF4,ENST00000373795,ENSP00000362900,CCDS333,PRINCIPAL:1
ENSG00000116353,MECR,ENST00000263702,ENSP00000263702,CCDS30659,PRINCIPAL:1
ENSG00000116455,WDR77,ENST00000235090,ENSP00000235090,CCDS835,PRINCIPAL:1
ENSG00000116459,ATP5F1,ENST00000369722,ENSP00000358737,CCDS836,PRINCIPAL:1
ENSG00000116473,RAP1A,ENST00000356415,ENSP00000348786,CCDS840,PRINCIPAL:1
ENSG00000116478,HDAC1,ENST00000373548,ENSP00000362649,CCDS360,PRINCIPAL:1
ENSG00000116489,CAPZA1,ENST00000263168,ENSP00000263168,CCDS30805,PRINCIPAL:1
ENSG00000116497,S100PBP,ENST00000373475,ENSP00000362574,CCDS30666,PRINCIPAL:1
ENSG00000116521,SCAMP3,ENST00000302631,ENSP00000307275,CCDS1105,PRINCIPAL:1
ENSG00000116525,TRIM62,ENST00000291416,ENSP00000291416,CCDS376,PRINCIPAL:1
ENSG00000116544,DLGAP3,ENST00000235180,ENSP00000235180,CCDS30670,PRINCIPAL:1
ENSG00000116560,SFPQ,ENST00000357214,ENSP00000349748,CCDS388,PRINCIPAL:1
ENSG00000116574,RHOU,ENST00000366691,ENSP00000355652,CCDS1575,PRINCIPAL:1
ENSG00000116586,LAMTOR2,ENST00000368305,ENSP00000357288,CCDS1128,PRINCIPAL:1
ENSG00000116604,MEF2D,ENST00000464356,ENSP00000476788,-,PRINCIPAL:1
ENSG00000116649,SRM,ENST00000376957,ENSP00000366156,CCDS125,PRINCIPAL:1
ENSG00000116661,FBXO2,ENST00000354287,ENSP00000346240,CCDS130,PRINCIPAL:1
ENSG00000116663,FBXO6,ENST00000376753,ENSP00000365944,CCDS133,PRINCIPAL:1
ENSG00000116667,C1orf21,ENST00000235307,ENSP00000235307,CCDS1362,PRINCIPAL:1
ENSG00000116668,SWT1,ENST00000367500,ENSP00000356470,CCDS1367,PRINCIPAL:1
ENSG00000116670,MAD2L2,ENST00000376692,ENSP00000365882,CCDS134,PRINCIPAL:1
ENSG00000116678,LEPR,ENST00000349533,ENSP00000330393,CCDS631,PRINCIPAL:1
ENSG00000116679,IVNS1ABP,ENST00000367498,ENSP00000356468,CCDS1368,PRINCIPAL:1
ENSG00000116685,KIAA2013,ENST00000376572,ENSP00000365756,CCDS141,PRINCIPAL:1
ENSG00000116688,MFN2,ENST00000444836,ENSP00000416338,CCDS30587,PRINCIPAL:1
ENSG00000116691,MIIP,ENST00000235332,ENSP00000235332,CCDS143,PRINCIPAL:1
ENSG00000116701,NCF2,ENST00000367535,ENSP00000356505,CCDS1356,PRINCIPAL:1
ENSG00000116703,PDC,ENST00000391997,ENSP00000375855,CCDS1370,PRINCIPAL:1
ENSG00000116704,SLC35D1,ENST00000235345,ENSP00000235345,CCDS636,PRINCIPAL:1
ENSG00000116711,PLA2G4A,ENST00000367466,ENSP00000356436,CCDS1372,PRINCIPAL:1
ENSG00000116717,GADD45A,ENST00000370986,ENSP00000360025,CCDS640,PRINCIPAL:1
ENSG00000116721,PRAMEF1,ENST00000332296,ENSP00000332134,CCDS148,PRINCIPAL:1
ENSG00000116726,PRAMEF12,ENST00000357726,ENSP00000350358,CCDS41254,PRINCIPAL:1
ENSG00000116729,WLS,ENST00000262348,ENSP00000262348,CCDS642,PRINCIPAL:1
ENSG00000116741,RGS2,ENST00000235382,ENSP00000235382,CCDS1377,PRINCIPAL:1
ENSG00000116745,RPE65,ENST00000262340,ENSP00000262340,CCDS643,PRINCIPAL:1
ENSG00000116752,BCAS2,ENST00000369541,ENSP00000358554,CCDS874,PRINCIPAL:1
ENSG00000116761,CTH,ENST00000370938,ENSP00000359976,CCDS650,PRINCIPAL:1
ENSG00000116771,AGMAT,ENST00000375826,ENSP00000364986,CCDS160,PRINCIPAL:1
ENSG00000116774,OLFML3,ENST00000320334,ENSP00000322273,CCDS870,PRINCIPAL:1
ENSG00000116783,TNNI3K,ENST00000326637,ENSP00000322251,CCDS664,PRINCIPAL:1
ENSG00000116785,CFHR3,ENST00000367425,ENSP00000356395,CCDS30958,PRINCIPAL:1
ENSG00000116791,CRYZ,ENST00000340866,ENSP00000339399,CCDS665,PRINCIPAL:1
ENSG00000116793,PHTF1,ENST00000393357,ENSP00000377025,CCDS861,PRINCIPAL:1
ENSG00000116819,TFAP2E,ENST00000373235,ENSP00000362332,CCDS393,PRINCIPAL:1
ENSG00000116824,CD2,ENST00000369478,ENSP00000358490,CCDS889,PRINCIPAL:1
ENSG00000116830,TTF2,ENST00000369466,ENSP00000358478,CCDS892,PRINCIPAL:1
ENSG00000116852,KIF21B,ENST00000461742,ENSP00000433808,CCDS58055,PRINCIPAL:1
ENSG00000116863,ADPRHL2,ENST00000373178,ENSP00000362273,CCDS402,PRINCIPAL:1
ENSG00000116874,WARS2,ENST00000235521,ENSP00000235521,CCDS900,PRINCIPAL:1
ENSG00000116882,HAO2,ENST00000622548,ENSP00000483507,CCDS901,PRINCIPAL:1
ENSG00000116885,OSCP1,ENST00000235532,ENSP00000235532,CCDS409,PRINCIPAL:1
ENSG00000116898,MRPS15,ENST00000373116,ENSP00000362208,CCDS411,PRINCIPAL:1
ENSG00000116903,EXOC8,ENST00000366645,ENSP00000355605,CCDS1593,PRINCIPAL:1
ENSG00000116906,GNPAT,ENST00000366647,ENSP00000355607,CCDS1592,PRINCIPAL:1
ENSG00000116918,TSNAX,ENST00000366639,ENSP00000355599,CCDS1596,PRINCIPAL:1
ENSG00000116922,C1orf109,ENST00000464085,ENSP00000477159,CCDS423,PRINCIPAL:1
ENSG00000116954,RRAGC,ENST00000373001,ENSP00000362092,CCDS430,PRINCIPAL:1
ENSG00000116962,NID1,ENST00000264187,ENSP00000264187,CCDS1608,PRINCIPAL:1
ENSG00000116981,NT5C1A,ENST00000235628,ENSP00000235628,CCDS440,PRINCIPAL:1
ENSG00000116983,HPCAL4,ENST00000617690,ENSP00000481834,CCDS441,PRINCIPAL:1
ENSG00000116984,MTR,ENST00000366577,ENSP00000355536,CCDS1614,PRINCIPAL:1
ENSG00000116985,BMP8B,ENST00000372827,ENSP00000361915,CCDS444,PRINCIPAL:1
ENSG00000116991,SIPA1L2,ENST00000262861,ENSP00000262861,CCDS41474,PRINCIPAL:1
ENSG00000116996,ZP4,ENST00000366570,ENSP00000355529,CCDS1615,PRINCIPAL:1
ENSG00000117000,RLF,ENST00000372771,ENSP00000361857,CCDS448,PRINCIPAL:1
ENSG00000117010,ZNF684,ENST00000372699,ENSP00000361784,CCDS454,PRINCIPAL:1
ENSG00000117016,RIMS3,ENST00000372683,ENSP00000361768,CCDS30687,PRINCIPAL:1
ENSG00000117020,AKT3,ENST00000263826,ENSP00000263826,CCDS31077,PRINCIPAL:1
ENSG00000117036,ETV3,ENST00000368192,ENSP00000357175,CCDS44250,PRINCIPAL:1
ENSG00000117069,ST6GALNAC5,ENST00000477717,ENSP00000417583,CCDS673,PRINCIPAL:1
ENSG00000117091,CD48,ENST00000368046,ENSP00000357025,CCDS1208,PRINCIPAL:1
ENSG00000117115,PADI2,ENST00000375486,ENSP00000364635,CCDS177,PRINCIPAL:1
ENSG00000117118,SDHB,ENST00000375499,ENSP00000364649,CCDS176,PRINCIPAL:1
ENSG00000117122,MFAP2,ENST00000375534,ENSP00000364684,CCDS44071,PRINCIPAL:1
ENSG00000117133,RPF1,ENST00000370654,ENSP00000359688,CCDS695,PRINCIPAL:1
ENSG00000117139,KDM5B,ENST00000367265,ENSP00000356234,CCDS30974,PRINCIPAL:1
ENSG00000117143,UAP1,ENST00000367926,ENSP00000356903,CCDS1240,PRINCIPAL:1
ENSG00000117148,ACTL8,ENST00000375406,ENSP00000364555,CCDS183,PRINCIPAL:1
ENSG00000117151,CTBS,ENST00000370630,ENSP00000359664,CCDS698,PRINCIPAL:1
ENSG00000117152,RGS4,ENST00000367909,ENSP00000356885,CCDS1243,PRINCIPAL:1
ENSG00000117153,KLHL12,ENST00000367261,ENSP00000356230,CCDS1429,PRINCIPAL:1
ENSG00000117154,IGSF21,ENST00000251296,ENSP00000251296,CCDS184,PRINCIPAL:1
ENSG00000117155,SSX2IP,ENST00000342203,ENSP00000340279,CCDS699,PRINCIPAL:1
ENSG00000117174,ZNHIT6,ENST00000370574,ENSP00000359606,CCDS707,PRINCIPAL:1
ENSG00000117215,PLA2G2D,ENST00000375105,ENSP00000364246,CCDS203,PRINCIPAL:1
ENSG00000117222,RBBP5,ENST00000264515,ENSP00000264515,CCDS30983,PRINCIPAL:1
ENSG00000117226,GBP3,ENST00000370481,ENSP00000359512,CCDS717,PRINCIPAL:1
ENSG00000117228,GBP1,ENST00000370473,ENSP00000359504,CCDS718,PRINCIPAL:1
ENSG00000117262,GPR89A,ENST00000313835,ENSP00000319673,CCDS72857,PRINCIPAL:1
ENSG00000117266,CDK18,ENST00000360066,ENSP00000353176,CCDS44300,PRINCIPAL:1
ENSG00000117280,RAB29,ENST00000367139,ENSP00000356107,CCDS1459,PRINCIPAL:1
ENSG00000117305,HMGCL,ENST00000374490,ENSP00000363614,CCDS243,PRINCIPAL:1
ENSG00000117308,GALE,ENST00000617979,ENSP00000483375,CCDS242,PRINCIPAL:1
ENSG00000117318,ID3,ENST00000374561,ENSP00000363689,CCDS237,PRINCIPAL:1
ENSG00000117360,PRPF3,ENST00000324862,ENSP00000315379,CCDS951,PRINCIPAL:1
ENSG00000117394,SLC2A1,ENST00000426263,ENSP00000416293,CCDS477,PRINCIPAL:1
ENSG00000117395,EBNA1BP2,ENST00000236051,ENSP00000236051,CCDS478,PRINCIPAL:1
ENSG00000117399,CDC20,ENST00000310955,ENSP00000308450,CCDS484,PRINCIPAL:1
ENSG00000117408,IPO13,ENST00000372343,ENSP00000361418,CCDS503,PRINCIPAL:1
